Reference,Qty,Description,Part Number,Manufacturer,Digikey
LED1,5,LED RED 0603 SMD,SML-D12U1WT86,Rohm Semiconductor,SML-D12U1WT86CT-ND
Y1,1,CRYSTAL 12.0000MHZ 18PF SMD,AS-12.000-18-SMD-TR,Raltron Electronics,2151-AS-12.000-18-SMD-TRCT-ND
Y2,1,CRYSTAL 16.0000MHZ 18PF SMD,AS-16.000-18-SMD-TR,Raltron Electronics,2151-AS-16.000-18-SMD-TRCT-ND
U1,1,IC USB PERIPH/HOST CNTRL 32TQFP,MAX3421EEHJ+T,Maxim Integrated,MAX3421EEHJ+TCT-ND
R1,10,RES SMD 330 OHM 5% 1/10W 0603,CR0603-JW-331ELF,Bourns Inc.,CR0603-JW-331ELFCT-ND
C9,5,CAP ALUM 47UF 20% 16V SMD,EDK476M016A9DAA,KEMET,399-14791-1-ND
U4,1,IC BUFFER NON-INVERT 6V 16SOIC,74HC4050D,Toshiba Semiconductor and Storage,74HC4050DCT-ND
U2,1,IC MCU 8BIT 32KB FLASH 44TQFP,ATMEGA32U4RC-AU,Microchip Technology,ATMEGA32U4RC-AU-ND
U3,1,IC REG LINEAR 3.3V 300MA SOT23-5,MIC5504-3.3YM5-TR,Microchip Technology,576-4764-1-ND
P1,1,CONN RCPT TYPEA 4POS R/A,USB-A1HSW6,On Shore Technology Inc.,ED2989-ND
"UART,USBD,JP1",5,CONN HEADER VERT 8POS 2.54MM,61300811121,Würth Elektronik,732-5321-ND
"R3,R4",10,RES SMD 33 OHM 1% 1/10W 0603,CR0603-FX-33R0ELF,Bourns Inc.,118-CR0603-FX-33R0ELFCT-ND
"R2,R5",10,RES SMD 4.7K OHM 5% 1/10W 0603,CR0603-JW-472ELF,Bourns Inc.,CR0603-JW-472ELFCT-ND
"C3,C4,C11",10,CAP CER 1UF 16V X7R 0805,CL21B105KOFNNNG,Samsung Electro-Mechanics,1276-6471-1-ND
"C13,C14,C15,C16",20,CAP CER 16PF 50V NPO 0603,CC0603JRNPO9BN160,Yageo,311-3964-1-ND
"C6,C7,C8,C10,C12",20,CAP CER 0.1UF 50V X7R 0603,CL10B104KB8NNWC,Samsung Electro-Mechanics,1276-1935-1-ND
